"ac_type"|"cn_ln"|"crew_aboard"|"crew_fatalities"|"date"|"flight_no"|"ground"|"location"|"operator"|"passengers_aboard"|"passengers_fatalities"|"registration"|"route"|"summary"|"time"|"total_aboard"
"Wright Flyer III"|"1"|"1"|"0"|"September 17, 1908"|"?"|"0"|"Fort Myer, Virginia"|"Military - U.S. Army"|"1"|"1"|"?"|"Demonstration"|"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge, 26, who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later."|"17:18"|"2"
"Wright Byplane"|"?"|"1"|"0"|"September 07, 1909"|"?"|"0"|"Juvisy-sur-Orge, France"|"?"|"0"|"0"|"SC1"|"Air show"|"Eugene Lefebvre was the first pilot to ever be killed in an air accident, after his controls jambed while flying in an air show."|"?"|"1"
"Dirigible"|"?"|"5"|"5"|"July 12, 1912"|"?"|"0"|"Atlantic City, New Jersey"|"Military - U.S. Navy"|"0"|"0"|"?"|"Test flight"|"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight."|"06:30"|"5"
"Curtiss seaplane"|"?"|"1"|"1"|"August 06, 1913"|"?"|"0"|"Victoria, British Columbia, Canada"|"Private"|"0"|"0"|"?"|"?"|"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed."|"?"|"1"
"Zeppelin L-1 (airship)"|"?"|"?"|"?"|"September 09, 1913"|"?"|"0"|"Over the North Sea"|"Military - German Navy"|"?"|"?"|"?"|"?"|"The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants."|"c 18:30"|"20"
"Zeppelin L-2 (airship)"|"?"|"?"|"?"|"October 17, 1913"|"?"|"0"|"Near Johannisthal, Germany"|"Military - German Navy"|"?"|"?"|"?"|"?"|"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft.."|"c 10:30"|"30"
"Zeppelin L-8 (airship)"|"?"|"?"|"?"|"March 05, 1915"|"?"|"0"|"Tienen, Belgium"|"Military - German Navy"|"?"|"?"|"?"|"?"|"Crashed into trees while attempting to land after being shot down by British and French aircraft."|"c 01:00"|"41"
"Zeppelin L-10 (airship)"|"?"|"?"|"?"|"September 03, 1915"|"?"|"0"|"Off Cuxhaven, Germany"|"Military - German Navy"|"?"|"?"|"?"|"?"|"Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning."|"c 15:20"|"19"
"Schutte-Lanz S-L-10 (airship)"|"?"|"?"|"?"|"July 28, 1916"|"?"|"0"|"Near Jambol, Bulgeria"|"Military - German Army"|"?"|"?"|"?"|"?"|"Crashed near the Black Sea, cause unknown."|"?"|"20"
"Zeppelin L-32 (airship)"|"?"|"?"|"?"|"September 24, 1916"|"?"|"0"|"Billericay, England"|"Military - German Navy"|"?"|"?"|"?"|"?"|"Shot down by British aircraft crashing in flames."|"c 01:00"|"22"
"Zeppelin L-31 (airship)"|"?"|"19"|"19"|"October 01, 1916"|"?"|"0"|"Potters Bar, England"|"Military - German Navy"|"0"|"0"|"?"|"?"|"Shot down in flames by the British 39th Home Defence Squadron."|"c 23:45"|"19"
"Super Zeppelin (airship)"|"?"|"?"|"?"|"November 21, 1916"|"?"|"0"|"Mainz, Germany"|"Military - German Army"|"?"|"?"|"?"|"?"|"Crashed in a storm."|"?"|"28"
"Zeppelin L-34 (airship)"|"?"|"?"|"?"|"November 28, 1916"|"?"|"0"|"Off West Hartlepool, England"|"Military - German Navy"|"?"|"?"|"?"|"?"|"Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea."|"c 23:45"|"20"
"Airship"|"?"|"?"|"?"|"March 04, 1917"|"?"|"0"|"Near Gent, Belgium"|"Military - German Army"|"?"|"?"|"?"|"?"|"Caught fire and crashed."|"?"|"20"
"Schutte-Lanz S-L-9 (airship)"|"?"|"?"|"?"|"March 30, 1917"|"?"|"0"|"Off Northern Germany"|"Military - German Navy"|"?"|"?"|"?"|"?"|"Struck by lightning and crashed into the Baltic Sea."|"?"|"23"
"Zeppelin L-22 (airship)"|"?"|"?"|"?"|"May 14, 1917"|"?"|"0"|"Near Texel Island, North Sea"|"Military - German Navy"|"?"|"?"|"?"|"?"|"Crashed into the sea from an altitude of 3,000 ft. after being hit by British aircraft fire."|"c 05:15"|"21"
"Zeppelin L-43 (airship)"|"?"|"?"|"?"|"June 14, 1917"|"?"|"0"|"Off Vlieland Island, North Sea"|"Military - German Navy"|"?"|"?"|"?"|"?"|"Shot down by British aircraft."|"c 08:45"|"24"
"Zepplin LZ-95 (air ship)"|"?"|"?"|"?"|"June 17, 1917"|"?"|"0"|"Near Yarmouth, England"|"?"|"?"|"?"|"L-48"|"?"|"Shot down by aircraft."|"?"|"16"
"Zeppelin L-23 (airship)"|"?"|"?"|"?"|"August 21, 1917"|"?"|"0"|"Off western Denmark"|"Military - German Navy"|"?"|"?"|"?"|"?"|"Shot down by British aircraft."|"c 07:00"|"18"
"Zeppelin L-44 (airship)"|"?"|"?"|"?"|"October 20, 1917"|"?"|"0"|"Near Luneville, France"|"Military - German Navy"|"?"|"?"|"?"|"?"|"Shot down by French anti-aircraft fire."|"c 07:45"|"18"
"Zeppelin L-59 (airship)"|"?"|"?"|"?"|"April 07, 1918"|"?"|"0"|"Over the Mediterranean"|"Military - German Navy"|"?"|"?"|"?"|"?"|"Exploded and crashed into the sea off the southern coast of Italy."|"c 21:30"|"23"
"Zeppelin L-70 (airship)"|"?"|"?"|"?"|"May 10, 1918"|"?"|"0"|"Off Helgoland Island, Germany"|"Military - German Navy"|"?"|"?"|"?"|"?"|"Shot down by British aircraft crashing from a height of 17,000 ft."|"?"|"22"
"Zeppelin L-53 (airship)"|"?"|"?"|"?"|"August 11, 1918"|"?"|"0"|"Ameland Island, North Sea"|"Military - German Navy"|"?"|"?"|"?"|"?"|"Shot down by british aircraft."|"c 10:00"|"19"
"De Havilland DH-4"|"?"|"1"|"1"|"December 16, 1918"|"?"|"0"|"Elizabeth, New Jersey"|"US Aerial Mail Service"|"0"|"0"|"97"|"?"|"Carl Smith was killed when his mail plane feet 500 feet while attempting to land. He tried to reposition the aircraft after the wind shifted and lost control of the plane and dived into the ground."|"?"|"1"
"De Havilland DH-4"|"?"|"1"|"1"|"May 25, 1919"|"?"|"0"|"Cleveland, Ohio"|"US Aerial Mail Service"|"0"|"0"|"61"|"?"|"Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive."|"?"|"1"
"De Havilland DH-4"|"?"|"1"|"1"|"July 19, 1919"|"?"|"0"|"Dix Run, Pennsylvania"|"US Aerial Mail Service"|"0"|"0"|"82"|"?"|"The mail plane crashed under unknown circumstances."|"?"|"1"
"FD Type Dirigible"|"?"|"?"|"1"|"July 21, 1919"|"?"|"10"|"Chicago, Illinois"|"Wingfoot Air Express Goodyear Tire"|"?"|"2"|"?"|"Shuttle"|" The dirigible, cruising at 1,200 ft. caught fire and crashed into the Illinois Trust and Savings Building in Chicago. The was transporting people from Grant Park to the White City amusement park.[1] One crew member, two passengers, and ten bank employees were killed"|"16:55"|"?"
"Caproni Ca.48"|"?"|"2"|"2"|"August 02, 1919"|"?"|"0"|"Verona, Italy"|"Caproni Company"|"12"|"12"|"?"|"Venice  Taliedo"|"As the plane was passing over Verona the wings began to flutter and then collapsed and crashed. Sources differ as to the number of deaths with some reporting 15 or 17."|"?"|"14"
"De Havilland DH-4"|"?"|"1"|"1"|"October 02, 1919"|"?"|"0"|"Newcastle, England"|"Aircraft Transport and Travel"|"0"|"0"|"?"|"?"|"?"|"?"|"1"
"Curtiss R-4LM"|"?"|"1"|"1"|"October 14, 1919"|"?"|"0"|"Cantonsville, Maryland"|"US Aerial Mail Service"|"0"|"0"|"32"|"?"|"The pilot was performing a mail flight to Baltimore. While on final approach, in fog, the aircraft hit tree tops and crashed into the woods."|"?"|"1"
"De Havilland DH-4"|"?"|"1"|"0"|"October 20, 1919"|"?"|"0"|"English Channel off Forkstone, Kent"|"Aircraft Transport and Travel"|"0"|"0"|"G-EAHG"|"?"|"Crashed into the sea while attempting to land in fog."|"?"|"0"
"De Havilland DH.4"|"77"|"1"|"1"|"October 30, 1919"|"?"|"0"|"Long Valley, New Jersey"|"US Aerial Mail Service"|"0"|"0"|"77"|"?"|"While on a mail flight to New York the pilot encountered bad weather conditions and reduced his altitude to maintain a visual contact with the ground. Eventually, he decided to make an emergency landing in Long Valley, west of Newark. Aircraft hit the ground and crashed."|"?"|"1"
